id_via,id_soc,p5_3,n_via,p5_6,p5_7_6,p5_7_7,dto_origen,p5_9_1,p5_9_2,p5_10_1,p5_10_2,p5_11a,p5_12_6,p5_12_7,dto_dest,p5_13,p5_14_01,p5_15_01,p5_14_02,p5_15_02,p5_14_03,p5_15_03,p5_14_04,p5_15_04,p5_14_05,p5_15_05,p5_14_06,p5_15_06,p5_14_07,p5_15_07,p5_14_08,p5_15_08,p5_14_09,p5_15_09,p5_14_10,p5_15_10,p5_14_11,p5_15_11,p5_14_12,p5_15_12,p5_14_13,p5_15_13,p5_14_14,p5_15_14,p5_14_15,p5_15_15,p5_14_16,p5_15_16,p5_14_17,p5_15_17,p5_14_18,p5_15_18,p5_14_19,p5_15_19,p5_14_20,p5_15_20,p5_18,p5_19,p5_20,p5_21_1,p5_21_2,p5_22,p5_23,p5_24,p5_25,p5_26,p5_27_1,p5_27_2,p5_27_3,p5_27_4,p5_27_5,p5_27_6,p5_27_7,p5_27_8,estrato,factor,upm_dis,est_dis,tloc,sexo,edad
3430,1447,1,02,03,014,09,015,16,00,16,50,01,015,09,002,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,3,99,99,2,,,1,00,,,,,,,,,3,234,00099,0040,1,2,39
3431,1447,2,01,01,015,09,002,10,00,10,35,16,015,09,002,02,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,1,99,99,1,0044,1,1,00,,,,,,,,,3,234,00099,0040,1,2,39
3431,1447,2,01,01,015,09,002,10,00,10,35,16,015,09,002,02,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,1,99,99,1,0044,1,1,00,,,,,,,,,3,234,00099,0040,1,2,39
3432,1447,2,02,16,015,09,002,11,30,12,20,01,015,09,002,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,3,99,99,2,,,1,00,,,,,,,,,3,234,00099,0040,1,2,39
3432,1447,2,02,16,015,09,002,11,30,12,20,01,015,09,002,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,3,99,99,2,,,1,00,,,,,,,,,3,234,00099,0040,1,2,39
3445,1452,1,01,01,015,09,002,07,00,07,40,03,005,09,027,06,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,02,3,99,99,2,,,1,00,,,,,,,,,3,234,00099,0040,1,1,27
3445,1452,1,01,01,015,09,002,07,00,07,40,03,005,09,027,06,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,02,3,99,99,2,,,1,00,,,,,,,,,3,234,00099,0040,1,1,27
3446,1452,1,02,03,005,09,027,14,00,15,00,01,015,09,002,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,3,99,99,2,,,1,00,,,,,,,,,3,234,00099,0040,1,1,27
3446,1452,1,02,03,005,09,027,14,00,15,00,01,015,09,002,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,3,99,99,2,,,1,00,,,,,,,,,3,234,00099,0040,1,1,27
3519,1481,1,01,01,015,09,002,14,00,14,30,02,016,09,021,02,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,2,,2,,2,,1,01,2,99,99,2,,,1,00,,,,,,,,,2,111,00102,0030,1,1,80
